# intensity_mean 	            intensity_std 	 backgroudn_mean 	 backgroudn_std 	 number_inner_pixels
3.429402579951625739e+03 3.398163713316440493e+01 3.423021826536473327e+03 1.931404316571275359e+01 2.000000000000000000e+00
3.413601451222789365e+03 2.696682919734390893e+01 3.409372262773722468e+03 2.145181006862795314e+01 2.000000000000000000e+00
3.423226552002150129e+03 1.694308109385715966e+01 3.418765141318976930e+03 1.388650967506964484e+01 2.000000000000000000e+00
3.415910776672937573e+03 2.607902724182753573e+01 3.415031818181818380e+03 2.388515234941617393e+01 2.000000000000000000e+00
3.418360924482665723e+03 2.247703165472401921e+01 3.417951371571072286e+03 2.190221704725635732e+01 2.000000000000000000e+00
3.418178715399086286e+03 2.137041128373056864e+01 3.417042983565107534e+03 2.085566976904679848e+01 2.000000000000000000e+00
3.417497984412792448e+03 2.006056561096533741e+01 3.417097959183673538e+03 1.873691641256360185e+01 2.000000000000000000e+00
3.412529965063155032e+03 2.204609588332387915e+01 3.410220790378006768e+03 2.202498302016446274e+01 2.000000000000000000e+00
3.417318731523783754e+03 2.264972272180334301e+01 3.414365128205128258e+03 2.124731088527106593e+01 2.000000000000000000e+00
3.422443697930663802e+03 1.899886455196822865e+01 3.421973840078973353e+03 1.555770733159898711e+01 2.000000000000000000e+00
3.426497178177909063e+03 2.250763088593553007e+01 3.424718249075215681e+03 2.418664885077991045e+01 2.000000000000000000e+00
3.416243751679655816e+03 2.932029388941220915e+01 3.409998444790046506e+03 2.215788807179424680e+01 2.000000000000000000e+00
3.418320075248589092e+03 2.151281806596223589e+01 3.416589090909090828e+03 1.996055813327211226e+01 2.000000000000000000e+00
3.420475141091104433e+03 3.534836023017695794e+01 3.412387406616862336e+03 2.161559902067246242e+01 2.000000000000000000e+00
3.429787422735823839e+03 1.548645801950198830e+01 3.430457759137208086e+03 1.348634602369391899e+01 2.000000000000000000e+00
3.404391292663262448e+03 1.908702455292266009e+01 3.403992897727272521e+03 1.868844559614700174e+01 2.000000000000000000e+00
3.422893308250470454e+03 1.464264500610832442e+01 3.422465211459754300e+03 1.489120907210786271e+01 2.000000000000000000e+00
3.404866433754366881e+03 1.867480527186106443e+01 3.403454185520361989e+03 1.731296771959388536e+01 2.000000000000000000e+00
3.423104810534802255e+03 1.448430118749017836e+01 3.421813833701251042e+03 1.396115445251951925e+01 2.000000000000000000e+00
3.482496640687987110e+03 1.976438316089679290e+02 3.424983037156704540e+03 1.596352475492816048e+01 2.000000000000000000e+00
3.425083579682881009e+03 1.716191453753213025e+01 3.421389622641509504e+03 1.490770618274942727e+01 2.000000000000000000e+00
3.428478097285676085e+03 2.411816106884726807e+01 3.426028651292802351e+03 2.499352572068176670e+01 2.000000000000000000e+00
3.427416823434560683e+03 2.442569317737181223e+01 3.420760768721007480e+03 1.524065048183744331e+01 2.000000000000000000e+00
3.423906208008600061e+03 1.485036234065521832e+01 3.421657803468207931e+03 1.402543971991957861e+01 2.000000000000000000e+00
3.417739048642838043e+03 2.207036958717831254e+01 3.414493934142114540e+03 2.103089370589022167e+01 2.000000000000000000e+00
3.423974737973663196e+03 3.701671878848123498e+01 3.416779467680608377e+03 2.299158460076813881e+01 2.000000000000000000e+00
3.405253963988175201e+03 1.461459553283393475e+01 3.404037689672050874e+03 1.355939234808716520e+01 2.000000000000000000e+00
3.425649825315775161e+03 1.681656190195304390e+01 3.422488188976377842e+03 1.381450005178701268e+01 2.000000000000000000e+00
3.418968825584520346e+03 2.096464553017307964e+01 3.418638242894056930e+03 1.702827516374202688e+01 2.000000000000000000e+00
3.426144047299113026e+03 1.756381837306144078e+01 3.426400325467860057e+03 1.986469774072078920e+01 2.000000000000000000e+00
3.423859177640419148e+03 3.689320937380450260e+01 3.410103448275861865e+03 2.159077840762867595e+01 2.000000000000000000e+00
3.418877989787691604e+03 2.993786725129111659e+01 3.410189473684210498e+03 2.198697927450991330e+01 2.000000000000000000e+00
3.418747648481591114e+03 1.609386971116921217e+01 3.417546457607433240e+03 1.501185716785214552e+01 2.000000000000000000e+00
3.418659231389411616e+03 2.174381083669948111e+01 3.416953678474114440e+03 1.881504793252359775e+01 2.000000000000000000e+00
3.418197258801397311e+03 2.161545633826813173e+01 3.415126582278481237e+03 2.075338440516502203e+01 2.000000000000000000e+00
3.418753829615694485e+03 2.158110959381333060e+01 3.416413934426229389e+03 1.839426949063377847e+01 2.000000000000000000e+00
3.414621069604944751e+03 4.793953827818933178e+01 3.402659090909090992e+03 1.670194578822921727e+01 2.000000000000000000e+00
3.406112872883633372e+03 1.405107007001852182e+01 3.405712121212121019e+03 1.328153354772132388e+01 2.000000000000000000e+00
3.415583445310400293e+03 2.217579188731215112e+01 3.412936788874842023e+03 2.005185563966234241e+01 2.000000000000000000e+00
3.418861596345068392e+03 2.035143875563274207e+01 3.417755172413792934e+03 1.821865444531674783e+01 2.000000000000000000e+00
3.426435366836871708e+03 1.980199421605351873e+01 3.421368788819875590e+03 1.323438448491403641e+01 2.000000000000000000e+00
3.426534533727492544e+03 1.579805549708101609e+01 3.424746376811594018e+03 1.252631893477255609e+01 2.000000000000000000e+00
3.418953238376780519e+03 2.208922479513186232e+01 3.418020348837209440e+03 2.019993506480896173e+01 2.000000000000000000e+00
3.422029830690674771e+03 1.464933377520400271e+01 3.420690684508491813e+03 1.399137851934696641e+01 2.000000000000000000e+00
3.418975006718624172e+03 2.109275324891657633e+01 3.415517571884984136e+03 1.958761372287736791e+01 2.000000000000000000e+00
3.442097016930932568e+03 7.543997611662001646e+01 3.426446127946127945e+03 1.414468146077271626e+01 2.000000000000000000e+00
3.423346949744692211e+03 1.467713155819508586e+01 3.419678225806451792e+03 1.407642195008210884e+01 2.000000000000000000e+00
3.425833378124160390e+03 3.710306068485569853e+01 3.417010976948408370e+03 2.341221055106722915e+01 2.000000000000000000e+00
3.418865627519483951e+03 2.095436495927464904e+01 3.416686468646864796e+03 2.038954097715095770e+01 2.000000000000000000e+00
3.425815640956731841e+03 1.809899566550748418e+01 3.422775229357798253e+03 1.370016654455132787e+01 2.000000000000000000e+00
3.426028218220908457e+03 1.568579242947263630e+01 3.423913079470198682e+03 1.397869338180642274e+01 2.000000000000000000e+00
3.407141091104541829e+03 1.736286868951376405e+01 3.404787077826725181e+03 1.306747388151082312e+01 2.000000000000000000e+00
3.420219564633162918e+03 2.905023318825593748e+01 3.415406015037593988e+03 1.986547650578205548e+01 2.000000000000000000e+00
3.480043805428648284e+03 1.979168751126875634e+02 3.424096173733195428e+03 1.471107665897357997e+01 2.000000000000000000e+00
3.429660843859177476e+03 2.354198811130464009e+01 3.424527093596059331e+03 1.332256151223920781e+01 2.000000000000000000e+00
3.425330556302069454e+03 3.545109699786704738e+01 3.415610223642172514e+03 2.136869760491209647e+01 2.000000000000000000e+00
3.419439398011287267e+03 2.161730487352760477e+01 3.417628959276018122e+03 1.892753203808252138e+01 2.000000000000000000e+00
3.418007256113947733e+03 1.992307703842701727e+01 3.416608944954128219e+03 1.671144920905110354e+01 2.000000000000000000e+00
3.425620532115022797e+03 1.440270241881381175e+01 3.425152445369406905e+03 1.314915501387680230e+01 2.000000000000000000e+00
3.419256382692824445e+03 2.084188443926286638e+01 3.417557840616966587e+03 1.936338663216297817e+01 2.000000000000000000e+00
3.416799785004031037e+03 1.433403700958691118e+01 3.417365201900237480e+03 1.375114767033638685e+01 2.000000000000000000e+00
3.415099704380542789e+03 4.747016208677507620e+01 3.404743990384615245e+03 1.562501807506351170e+01 2.000000000000000000e+00
3.482997850040311732e+03 1.974086108301371212e+02 3.427531343283581919e+03 1.490411351567501086e+01 2.000000000000000000e+00
3.426220102123085326e+03 1.879152473512422716e+01 3.421199592668024252e+03 1.342160157492828176e+01 2.000000000000000000e+00
3.473394517602795077e+03 1.930969159064633516e+02 3.427001574803149651e+03 1.403718337862102672e+01 2.000000000000000000e+00
3.429428916957806905e+03 2.344969197863507304e+01 3.426160231660231602e+03 1.416939035782262479e+01 2.000000000000000000e+00
3.418880945982262801e+03 2.098193038304154712e+01 3.416306910569105639e+03 1.777619768894785324e+01 2.000000000000000000e+00
3.418779091642031744e+03 1.953621361444114157e+01 3.417121756487025777e+03 1.661742663509117435e+01 2.000000000000000000e+00
3.484517334049986403e+03 1.986818731857195246e+02 3.427653968253968287e+03 1.443041495548038533e+01 2.000000000000000000e+00
3.419489384574039377e+03 1.912509794281865894e+01 3.417109133126934921e+03 1.656709811993048476e+01 2.000000000000000000e+00
3.435150497178177829e+03 5.560414499866030980e+01 3.424535868005738848e+03 1.398622776679619406e+01 2.000000000000000000e+00
3.425013437248051559e+03 1.622804537320091001e+01 3.421630303030302912e+03 1.293615600676665345e+01 2.000000000000000000e+00
3.418374361730717737e+03 1.445958805335402175e+01 3.419093824228028552e+03 1.367312619381892169e+01 2.000000000000000000e+00
3.418856490190808927e+03 1.577021374079094862e+01 3.416426591052299955e+03 1.419253240143270034e+01 2.000000000000000000e+00
3.425307444235420462e+03 1.368517956375438693e+01 3.423653872993719688e+03 1.237674250611706661e+01 2.000000000000000000e+00
3.425926095135716423e+03 1.492540509748141453e+01 3.423598951507208312e+03 1.282349575824028243e+01 2.000000000000000000e+00
3.425507659231389425e+03 1.335793024309688803e+01 3.424473540145985226e+03 1.228030411753679729e+01 2.000000000000000000e+00
3.481748992206395997e+03 2.025578477555845609e+02 3.425722474977252205e+03 1.369863986620057617e+01 2.000000000000000000e+00
3.422248320343993328e+03 2.821690352819988945e+01 3.414347398030942259e+03 1.743193283199808974e+01 2.000000000000000000e+00
3.425251276538564980e+03 1.321287125468633228e+01 3.423831737346101363e+03 1.246062491672941164e+01 2.000000000000000000e+00
3.428303413061004903e+03 2.304996411379940113e+01 3.418449704142011797e+03 1.203565277757257945e+01 2.000000000000000000e+00
