# intensity_mean 	intensity_std 	 backgroudn_mean 	 backgroudn_std 	 number_inner_pixels
3.429497553017944483e+03 2.340184619010355149e+01 3.420356573705179471e+03 1.383102158127227099e+01 6.130000000000000000e+02
3.411293637846655656e+03 2.201686826211050629e+01 3.410330718954248368e+03 2.096113203874852715e+01 6.130000000000000000e+02
3.425166394779771508e+03 1.653159650751299381e+01 3.418421641791044749e+03 1.336402236686002887e+01 6.130000000000000000e+02
3.411357259380097730e+03 2.087978330954226536e+01 3.413842780748663245e+03 2.198847264286068537e+01 6.130000000000000000e+02
3.418300163132137186e+03 2.208107447321850358e+01 3.416909456740442693e+03 2.151144590529091616e+01 6.130000000000000000e+02
3.419022838499184218e+03 2.380191776243410118e+01 3.415997727272727388e+03 2.107416544919787071e+01 6.130000000000000000e+02
3.429685154975530168e+03 2.400095956857817114e+01 3.424608753315649665e+03 1.438406419235572109e+01 6.130000000000000000e+02
3.417681892332789630e+03 2.010384821111178155e+01 3.416610738255033539e+03 1.870561224425995661e+01 6.130000000000000000e+02
3.411735725938009637e+03 2.166018093590433224e+01 3.410077889447235975e+03 2.269270273357962964e+01 6.130000000000000000e+02
3.419274061990211976e+03 2.434767065261539543e+01 3.414756711409395848e+03 2.170229177713272506e+01 6.130000000000000000e+02
3.420553017944534986e+03 1.552104958720323857e+01 3.421577966101694983e+03 1.479904449270816968e+01 6.130000000000000000e+02
3.430637846655791236e+03 2.308730864534577520e+01 3.428921875000000000e+03 2.985232498815897273e+01 6.130000000000000000e+02
3.414499184339314979e+03 2.257245898696148245e+01 3.409048951048951039e+03 2.090866875173146511e+01 6.130000000000000000e+02
3.420243066884176187e+03 2.342426562956180547e+01 3.416953846153846371e+03 2.060801245910902679e+01 6.130000000000000000e+02
3.418101141924959393e+03 2.669811075305642944e+01 3.412534246575342422e+03 2.188276675359927026e+01 6.130000000000000000e+02
3.422327895595432437e+03 1.458021033518162923e+01 3.426166085946573730e+03 1.362528435103297397e+01 6.130000000000000000e+02
3.405936378466557926e+03 1.797744276092067039e+01 3.403563559322034052e+03 1.873906987749390751e+01 6.130000000000000000e+02
3.424275693311582472e+03 1.524815972264028296e+01 3.423177401129943519e+03 1.544573691107356694e+01 6.130000000000000000e+02
3.405482871125611837e+03 1.939488631695647314e+01 3.402414492753623108e+03 1.714646151884106118e+01 6.130000000000000000e+02
3.426257748776508834e+03 1.581867459863829950e+01 3.422940688018979927e+03 1.415617996073106433e+01 6.130000000000000000e+02
3.746582381729200733e+03 3.891229505175064105e+02 3.431788874841972302e+03 1.795871589887617503e+01 6.130000000000000000e+02
3.433396411092985545e+03 2.233581284045259352e+01 3.420498977505112634e+03 1.430447821886605730e+01 6.130000000000000000e+02
3.426947797716150035e+03 1.648402902604059150e+01 3.427935570469798677e+03 2.603469309995399783e+01 6.130000000000000000e+02
3.420876019575856390e+03 1.448972057794845725e+01 3.419524943310657818e+03 1.422152050256756439e+01 6.130000000000000000e+02
3.425143556280587291e+03 1.474897994909610865e+01 3.422270476190476074e+03 1.348788467872467933e+01 6.130000000000000000e+02
3.421722675367047486e+03 2.408166011077098290e+01 3.413402489626555962e+03 2.032760305800753287e+01 6.130000000000000000e+02
3.428513866231647626e+03 3.547761125996137821e+01 3.418480075901328291e+03 2.398685364157463695e+01 6.130000000000000000e+02
3.408433931484502409e+03 1.668939813639710223e+01 3.403491525423728945e+03 1.357393174790603041e+01 6.130000000000000000e+02
3.433908646003262675e+03 2.162051787329795971e+01 3.423136771300448345e+03 1.359822734347812911e+01 6.130000000000000000e+02
3.418319738988580866e+03 2.165310564203028321e+01 3.417765690376569182e+03 1.864992160808766641e+01 6.130000000000000000e+02
3.424437194127242947e+03 1.635250114188246329e+01 3.420724043715847074e+03 1.363047938804118964e+01 6.130000000000000000e+02
3.423725938009788024e+03 3.178860532268713968e+01 3.412360000000000127e+03 1.994167495472734686e+01 6.130000000000000000e+02
3.419205546492658868e+03 2.596233000619574227e+01 3.415199999999999818e+03 1.777679795279637531e+01 6.130000000000000000e+02
3.422393148450244553e+03 1.805222852413483281e+01 3.417120580235720809e+03 1.484653934689869104e+01 6.130000000000000000e+02
3.423029363784665748e+03 2.153306465633928468e+01 3.416175298804781050e+03 2.161048576571655033e+01 6.130000000000000000e+02
3.418329526916802479e+03 2.319551046321139509e+01 3.414996539792387466e+03 2.038122792411643047e+01 6.130000000000000000e+02
3.418187601957585684e+03 2.245893209736659202e+01 3.417356435643564510e+03 1.958964373720994345e+01 6.130000000000000000e+02
3.417476345840130307e+03 2.507668197383324227e+01 3.402507078507078404e+03 1.668067150595531345e+01 6.130000000000000000e+02
3.409996737357259462e+03 1.665502552272635839e+01 3.405857627118643904e+03 1.352956841470111904e+01 6.130000000000000000e+02
3.417001631321370496e+03 2.258545484565498285e+01 3.412932710280373612e+03 2.025212934784068608e+01 6.130000000000000000e+02
3.420644371941272311e+03 2.184314814429236762e+01 3.419146153846153993e+03 1.891862935017100611e+01 6.130000000000000000e+02
3.433234910277324616e+03 2.222442893091211857e+01 3.421454289732770576e+03 1.329415469703663710e+01 6.130000000000000000e+02
3.429566068515497591e+03 1.657395184165398305e+01 3.424784946236559335e+03 1.208834911705659998e+01 6.130000000000000000e+02
3.421854812398042213e+03 2.196089057879359174e+01 3.415916666666666515e+03 2.177190351871610829e+01 6.130000000000000000e+02
3.427497553017944483e+03 1.373848302065599114e+01 3.422113223854797070e+03 1.401351883636658435e+01 6.130000000000000000e+02
3.418629690048939665e+03 2.184913941963492334e+01 3.415116666666666788e+03 2.261053712075166544e+01 6.130000000000000000e+02
3.441822185970636383e+03 2.854947962290488306e+01 3.427684131736526979e+03 1.562703169049385998e+01 6.130000000000000000e+02
3.426035889070146823e+03 1.467034220322197768e+01 3.420880747126436745e+03 1.331876549776032626e+01 6.130000000000000000e+02
3.439538336052202339e+03 5.331182468331845570e+01 3.419045548654244158e+03 2.510825414789513488e+01 6.130000000000000000e+02
3.419008156606851571e+03 2.171312888775342032e+01 3.415289473684210407e+03 2.291420829590790831e+01 6.130000000000000000e+02
3.438272430668841935e+03 2.654349454953104726e+01 3.422552661381653252e+03 1.323899578285070433e+01 6.130000000000000000e+02
3.430375203915171369e+03 1.774248011098217503e+01 3.424097560975609667e+03 1.347580013109096519e+01 6.130000000000000000e+02
3.419830342577487954e+03 2.748537667338300494e+01 3.405226271186440499e+03 1.362844065073204547e+01 6.130000000000000000e+02
3.417955954323001606e+03 2.303298616105751151e+01 3.415137614678898899e+03 1.870140449511907121e+01 6.130000000000000000e+02
3.432463295269168157e+03 1.677071284619667324e+01 3.424227722772277048e+03 1.381481568599437715e+01 6.130000000000000000e+02
3.445409461663947695e+03 4.080771416378281202e+01 3.424296703296703072e+03 1.291731481766935730e+01 6.130000000000000000e+02
3.438954323001631110e+03 4.622052821481862139e+01 3.415695121951219335e+03 2.005187724585129416e+01 6.130000000000000000e+02
3.421593800978792842e+03 2.250502414248209959e+01 3.418017482517482676e+03 2.088906032388075928e+01 6.130000000000000000e+02
3.418272430668841935e+03 1.990177773619366519e+01 3.418459051724138135e+03 1.649550761615313021e+01 6.130000000000000000e+02
3.432419249592169763e+03 1.777892390339826179e+01 3.426095902353966721e+03 1.338431497339116838e+01 6.130000000000000000e+02
3.420437194127242947e+03 2.070923665489740628e+01 3.419817307692307622e+03 1.992498645066469365e+01 6.130000000000000000e+02
3.420278955954323010e+03 1.520599706391148587e+01 3.418177470775770416e+03 1.320658075021910172e+01 6.130000000000000000e+02
3.461262642740619867e+03 9.742919556100824252e+01 3.405484815618221091e+03 1.590775631150478375e+01 6.130000000000000000e+02
3.484079934747145217e+03 1.281554869952035745e+02 3.436685393258426757e+03 1.833393662953989178e+01 6.130000000000000000e+02
3.429055464926590503e+03 1.447955830807327615e+01 3.424322834645669445e+03 1.353669954178155521e+01 6.130000000000000000e+02
3.443579119086460196e+03 2.796010361801306132e+01 3.429417783191230228e+03 1.527800439286060730e+01 6.130000000000000000e+02
