# inner_mean	 background_mean	 backgroudn_std	 inner_no_poitns	 outer_no_points
3.436495268138801293e+03 3.422509433962264211e+03 1.393227912318705108e+01 3.170000000000000000e+02 2.120000000000000000e+02
3.412413793103448370e+03 3.414250000000000000e+03 2.108524365522011124e+01 2.900000000000000000e+01 2.000000000000000000e+01
3.436141592920354014e+03 3.424476190476190368e+03 1.324237683415205780e+01 1.130000000000000000e+02 6.300000000000000000e+01
3.414965517241379530e+03 3.415099999999999909e+03 2.069275235438727378e+01 2.900000000000000000e+01 2.000000000000000000e+01
3.423000000000000000e+03 3.417400000000000091e+03 1.815599074685818337e+01 2.900000000000000000e+01 2.000000000000000000e+01
3.443102040816326735e+03 3.428906250000000000e+03 2.087216953116038809e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.438653061224489647e+03 3.434375000000000000e+03 2.177692299201152082e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.418979591836734471e+03 3.414843750000000000e+03 2.358244762397448824e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.410081632653061206e+03 3.409562500000000000e+03 1.932928073545417647e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.419419753086419860e+03 3.418117647058823422e+03 2.191663980508920773e+01 8.100000000000000000e+01 6.800000000000000000e+01
3.426281879194631074e+03 3.418500000000000000e+03 1.364170641254802341e+01 1.490000000000000000e+02 1.040000000000000000e+02
3.436510067114093999e+03 3.427000000000000000e+03 1.340955226523328037e+01 1.490000000000000000e+02 8.700000000000000000e+01
3.417724137931034420e+03 3.412449999999999818e+03 1.815344319956960462e+01 2.900000000000000000e+01 2.000000000000000000e+01
3.423387755102040956e+03 3.425250000000000000e+03 2.351462310988632609e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.412959183673469397e+03 3.411562500000000000e+03 2.593614454289611615e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.426477157360406181e+03 3.422358333333333121e+03 1.383702510978746503e+01 1.970000000000000000e+02 1.200000000000000000e+02
3.409409395973154460e+03 3.402961538461538566e+03 1.672855865148617838e+01 1.490000000000000000e+02 1.040000000000000000e+02
3.431522123893805201e+03 3.424940476190476147e+03 1.340073842179725183e+01 1.130000000000000000e+02 8.400000000000000000e+01
3.425897959183673265e+03 3.413312500000000000e+03 2.156159418387239768e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.429933753943217653e+03 3.422566666666666606e+03 1.381468622718429984e+01 3.170000000000000000e+02 2.100000000000000000e+02
3.746582381729200733e+03 3.445216710182767656e+03 2.172790513974964455e+01 6.130000000000000000e+02 3.830000000000000000e+02
3.433396411092985545e+03 3.422726666666666461e+03 1.398446598511680428e+01 6.130000000000000000e+02 3.000000000000000000e+02
3.434938775510203868e+03 3.421421052631578732e+03 1.144467602941571016e+01 4.900000000000000000e+01 1.900000000000000000e+01
3.422979591836734471e+03 3.424093750000000000e+03 1.345213592473329101e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.432728395061728406e+03 3.426470588235294144e+03 1.444204502000535939e+01 8.100000000000000000e+01 6.800000000000000000e+01
3.431591836734693970e+03 3.432125000000000000e+03 2.443454265993124608e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.440430830039525517e+03 3.419133333333333212e+03 2.241958469235720841e+01 2.530000000000000000e+02 1.800000000000000000e+02
3.418751677852349076e+03 3.408230769230769056e+03 1.366933033165766886e+01 1.490000000000000000e+02 1.040000000000000000e+02
3.448234899328859228e+03 3.428076923076922867e+03 1.298398345770589124e+01 1.490000000000000000e+02 3.900000000000000000e+01
3.420775510204081456e+03 3.417062500000000000e+03 2.287730521171582510e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.425551020408163367e+03 3.426357142857142662e+03 1.454356579805822491e+01 4.900000000000000000e+01 2.800000000000000000e+01
3.414755102040816382e+03 3.416888888888888687e+03 2.200224455441077964e+01 4.900000000000000000e+01 1.800000000000000000e+01
3.415061728395061891e+03 3.417260869565217490e+03 2.681452784577201243e+01 8.100000000000000000e+01 4.600000000000000000e+01
3.429878172588832513e+03 3.422116666666666788e+03 1.584202393074263071e+01 1.970000000000000000e+02 1.200000000000000000e+02
3.432851851851851734e+03 3.426099999999999909e+03 2.833884260163071644e+01 8.100000000000000000e+01 1.000000000000000000e+01
3.417061728395061891e+03 3.415333333333333485e+03 2.276621737563733205e+01 8.100000000000000000e+01 5.100000000000000000e+01
3.420442477876106295e+03 3.415976190476190368e+03 2.455895539817264250e+01 1.130000000000000000e+02 8.400000000000000000e+01
3.437513274336283303e+03 3.417451219512195166e+03 1.796415973816075251e+01 1.130000000000000000e+02 8.200000000000000000e+01
3.412337868480725774e+03 3.404656716417910502e+03 1.424733778620441349e+01 4.410000000000000000e+02 2.680000000000000000e+02
3.423020408163265529e+03 3.421625000000000000e+03 2.184569465592705839e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.424689655172413950e+03 3.418349999999999909e+03 2.182034601008884067e+01 2.900000000000000000e+01 2.000000000000000000e+01
3.448353982300885036e+03 3.429333333333333485e+03 1.243793480535342866e+01 1.130000000000000000e+02 7.500000000000000000e+01
3.435994923857867889e+03 3.425872549019607959e+03 1.309667789685123118e+01 1.970000000000000000e+02 1.020000000000000000e+02
3.421000000000000000e+03 3.411500000000000000e+03 1.896707673839065933e+01 4.900000000000000000e+01 2.000000000000000000e+01
3.428979591836734471e+03 3.432406250000000000e+03 1.102797401781034381e+01 4.900000000000000000e+01 3.200000000000000000e+01
3.417428571428571558e+03 3.419578947368421268e+03 2.170451272376731211e+01 4.900000000000000000e+01 1.900000000000000000e+01
3.451538071065989698e+03 3.427244444444444525e+03 1.584319770691027252e+01 1.970000000000000000e+02 9.000000000000000000e+01
3.429787610619468978e+03 3.425880952380952294e+03 1.264384356298951850e+01 1.130000000000000000e+02 8.400000000000000000e+01
