# magnitude, 	ratio
1.100000000000000000e+01 8.459999999999999742e-01
1.119999999999999929e+01 9.360000000000000542e-01
1.139999999999999858e+01 9.699999999999999734e-01
1.159999999999999787e+01 9.979999999999999982e-01
1.179999999999999716e+01 9.979999999999999982e-01
1.199999999999999645e+01 1.000000000000000000e+00
1.219999999999999574e+01 1.000000000000000000e+00
1.239999999999999503e+01 1.000000000000000000e+00
1.259999999999999432e+01 1.000000000000000000e+00
1.279999999999999361e+01 1.000000000000000000e+00
1.299999999999999289e+01 1.000000000000000000e+00
1.319999999999999218e+01 1.000000000000000000e+00
1.339999999999999147e+01 1.000000000000000000e+00
1.359999999999999076e+01 1.000000000000000000e+00
1.379999999999999005e+01 1.000000000000000000e+00
1.399999999999998934e+01 9.979999999999999982e-01
1.419999999999998863e+01 1.000000000000000000e+00
1.439999999999998792e+01 1.000000000000000000e+00
1.459999999999998721e+01 1.000000000000000000e+00
1.479999999999998650e+01 1.000000000000000000e+00
1.499999999999998579e+01 1.000000000000000000e+00
1.519999999999998508e+01 1.000000000000000000e+00
1.539999999999998437e+01 1.000000000000000000e+00
1.559999999999998366e+01 1.000000000000000000e+00
1.579999999999998295e+01 1.000000000000000000e+00
1.599999999999998224e+01 9.979999999999999982e-01
1.619999999999998153e+01 1.000000000000000000e+00
1.639999999999998082e+01 1.000000000000000000e+00
1.659999999999998010e+01 1.000000000000000000e+00
1.679999999999997939e+01 1.000000000000000000e+00
1.699999999999997868e+01 9.959999999999999964e-01
1.719999999999997797e+01 9.779999999999999805e-01
1.739999999999997726e+01 9.519999999999999574e-01
1.759999999999997655e+01 8.259999999999999565e-01
1.779999999999997584e+01 6.360000000000000098e-01
1.799999999999997513e+01 4.680000000000000271e-01
1.819999999999997442e+01 2.600000000000000089e-01
1.839999999999997371e+01 1.479999999999999927e-01
1.859999999999997300e+01 8.000000000000000167e-02
1.879999999999997229e+01 4.399999999999999745e-02
1.899999999999997158e+01 2.599999999999999881e-02
1.919999999999997087e+01 2.800000000000000058e-02
1.939999999999997016e+01 3.200000000000000067e-02
1.959999999999996945e+01 2.400000000000000050e-02
1.979999999999996874e+01 1.799999999999999864e-02
1.999999999999996803e+01 1.200000000000000025e-02
2.019999999999996732e+01 2.199999999999999872e-02
2.039999999999996660e+01 2.199999999999999872e-02
2.059999999999996589e+01 1.600000000000000033e-02
2.079999999999996518e+01 1.600000000000000033e-02
2.099999999999996447e+01 2.000000000000000042e-02
2.119999999999996376e+01 2.199999999999999872e-02
2.139999999999996305e+01 1.400000000000000029e-02
2.159999999999996234e+01 1.400000000000000029e-02
2.179999999999996163e+01 8.000000000000000167e-03
