# top bottom left right
1.764000000000000000e+03 1.880000000000000000e+03 6.083000000000000000e+03 3.500000000000000000e+01
1.766000000000000000e+03 1.899000000000000000e+03 3.477000000000000000e+03 1.700000000000000000e+01
1.774000000000000000e+03 2.015000000000000000e+03 3.578000000000000000e+03 3.000000000000000000e+01
1.798000000000000000e+03 2.042000000000000000e+03 3.483000000000000000e+03 1.900000000000000000e+01
1.806000000000000000e+03 2.087000000000000000e+03 3.848000000000000000e+03 3.600000000000000000e+01
1.818000000000000000e+03 1.871000000000000000e+03 3.532000000000000000e+03 2.300000000000000000e+01
1.828000000000000000e+03 2.013000000000000000e+03 3.476000000000000000e+03 1.500000000000000000e+01
1.847000000000000000e+03 1.976000000000000000e+03 3.538000000000000000e+03 2.400000000000000000e+01
1.856000000000000000e+03 1.919000000000000000e+03 3.583000000000000000e+03 3.900000000000000000e+01
1.868000000000000000e+03 1.965000000000000000e+03 3.506000000000000000e+03 2.600000000000000000e+01
1.878000000000000000e+03 2.004000000000000000e+03 3.651000000000000000e+03 2.800000000000000000e+01
1.878000000000000000e+03 2.102000000000000000e+03 3.479000000000000000e+03 1.600000000000000000e+01
1.899000000000000000e+03 1.918000000000000000e+03 4.125000000000000000e+03 4.200000000000000000e+01
1.912000000000000000e+03 1.921000000000000000e+03 3.509000000000000000e+03 1.800000000000000000e+01
1.925000000000000000e+03 1.906000000000000000e+03 3.667000000000000000e+03 3.500000000000000000e+01
1.932000000000000000e+03 2.040000000000000000e+03 3.599000000000000000e+03 4.500000000000000000e+01
1.940000000000000000e+03 2.021000000000000000e+03 3.713000000000000000e+03 4.700000000000000000e+01
1.940000000000000000e+03 1.867000000000000000e+03 3.467000000000000000e+03 1.500000000000000000e+01
1.951000000000000000e+03 1.865000000000000000e+03 3.524000000000000000e+03 2.700000000000000000e+01
1.956000000000000000e+03 1.906000000000000000e+03 4.830000000000000000e+03 9.100000000000000000e+01
1.956000000000000000e+03 2.044000000000000000e+03 3.582000000000000000e+03 3.100000000000000000e+01
1.958000000000000000e+03 1.923000000000000000e+03 3.521000000000000000e+03 2.800000000000000000e+01
1.961000000000000000e+03 2.060000000000000000e+03 3.650000000000000000e+03 3.900000000000000000e+01
1.961000000000000000e+03 2.097000000000000000e+03 3.487000000000000000e+03 2.100000000000000000e+01
1.962000000000000000e+03 1.894000000000000000e+03 3.503000000000000000e+03 3.000000000000000000e+00
1.980000000000000000e+03 2.056000000000000000e+03 3.466000000000000000e+03 1.100000000000000000e+01
1.982000000000000000e+03 1.976000000000000000e+03 4.859000000000000000e+03 3.900000000000000000e+01
1.989000000000000000e+03 2.040000000000000000e+03 3.523000000000000000e+03 4.200000000000000000e+01
1.994000000000000000e+03 1.939000000000000000e+03 3.501000000000000000e+03 2.900000000000000000e+01
